epoch,train_loss,train_top1,val_loss,val_top1,val_top5
37,3.177885,0.0000,1.467780,63.9400,88.8700
38,3.140928,0.0000,1.470261,64.8900,89.1000
39,3.153107,0.0000,1.504516,64.6300,89.0000
40,3.108221,0.0000,1.513356,64.0600,88.4900
41,3.111978,0.0000,1.459857,65.3400,89.4600
42,3.118853,0.0000,1.484372,65.4800,89.4100
43,3.089502,0.0000,1.472627,65.5100,89.0700
44,3.142466,0.0000,1.497081,64.6400,89.4300
45,3.101975,0.0000,1.401425,66.9300,90.4800
46,3.103751,0.0000,1.464220,65.3700,89.6900
47,3.057713,0.0000,1.479891,64.9000,89.1300
48,3.080041,0.0000,1.441108,66.6300,89.9600
49,3.066152,0.0000,1.431171,66.8900,90.0000
50,3.028113,0.0000,1.394566,66.9400,89.4500
51,3.058785,0.0000,1.416115,67.1200,90.3000
52,3.052728,0.0000,1.367282,67.7000,90.4900
53,3.024093,0.0000,1.311149,68.5800,91.1300
54,3.018240,0.0000,1.391169,68.0200,90.3500
55,3.036049,0.0000,1.357460,67.7800,90.5500
56,2.996186,0.0000,1.347528,68.1200,90.2000
57,3.037201,0.0000,1.424566,67.0000,90.4500
58,3.029101,0.0000,1.378773,67.8500,90.5500
59,3.014295,0.0000,1.364986,68.3700,91.3300
60,2.991070,0.0000,1.336269,68.2300,90.6900
61,2.991345,0.0000,1.399929,67.8400,90.3000
62,2.998727,0.0000,1.316870,69.0200,91.1000
63,2.992283,0.0000,1.324431,69.6400,91.0700
64,2.978737,0.0000,1.385637,69.0600,91.0300
65,2.948604,0.0000,1.340530,69.7400,91.2200
66,2.954137,0.0000,1.302166,69.5800,91.4000
67,2.957291,0.0000,1.309581,69.3200,91.3200
68,2.917817,0.0000,1.279953,69.9100,91.5100
69,2.891149,0.0000,1.261396,70.3900,91.4700
70,2.928410,0.0000,1.267113,70.9300,92.0500
71,2.930335,0.0000,1.312819,69.9500,91.7800
72,2.917497,0.0000,1.254089,71.2500,91.9600
73,2.931066,0.0000,1.261513,70.9800,92.2000
74,2.887792,0.0000,1.228059,71.0600,91.8800
75,2.894827,0.0000,1.213503,71.5800,92.1600
76,2.917464,0.0000,1.281862,71.6800,92.1000
77,2.887601,0.0000,1.256282,71.7800,92.2100
78,2.842197,0.0000,1.245202,71.4000,92.1600
79,2.874966,0.0000,1.174980,72.5800,92.3800
80,2.856715,0.0000,1.229231,72.1700,92.1700
81,2.826528,0.0000,1.232897,71.8600,92.2500
82,2.846135,0.0000,1.209008,72.2100,92.8000
83,2.859422,0.0000,1.267218,72.4800,92.1400
84,2.829380,0.0000,1.259084,71.9200,92.3100
85,2.786562,0.0000,1.197357,72.8500,92.7400
86,2.869655,0.0000,1.225905,71.8500,92.2600
87,2.779961,0.0000,1.180222,73.3500,92.9900
88,2.807050,0.0000,1.191884,72.4800,92.7500
89,2.809357,0.0000,1.174713,73.1000,93.0500
90,2.772724,0.0000,1.204453,73.2500,92.5900
91,2.793428,0.0000,1.191315,73.2300,92.7400
92,2.770672,0.0000,1.193597,73.7600,93.1200
93,2.760966,0.0000,1.144055,74.0500,93.5700
94,2.739620,0.0000,1.155582,74.1000,93.1900
95,2.722625,0.0000,1.138831,74.6700,93.0200
96,2.741754,0.0000,1.149268,74.6500,93.2000
97,2.726428,0.0000,1.153785,74.1500,93.2600
98,2.695845,0.0000,1.141234,74.6000,93.2600
99,2.722277,0.0000,1.111125,75.0500,93.3800
100,2.735833,0.0000,1.118913,74.9400,93.5900
101,2.730706,0.0000,1.123417,75.0400,93.5900
102,2.696868,0.0000,1.106680,75.1800,93.7200
103,2.694784,0.0000,1.159014,75.2400,93.5800
104,2.660359,0.0000,1.121680,75.5000,93.8800
105,2.680154,0.0000,1.118299,76.1100,93.3100
106,2.650994,0.0000,1.079242,75.6500,93.8700
107,2.642643,0.0000,1.131479,75.8200,93.6200
108,2.672282,0.0000,1.140134,75.6000,93.6800
109,2.645842,0.0000,1.101257,76.2200,93.6700
110,2.669658,0.0000,1.154047,76.2900,93.4800
111,2.629571,0.0000,1.116805,75.9800,93.5700
112,2.644703,0.0000,1.099101,76.7000,93.8700
113,2.651359,0.0000,1.082289,76.3900,93.8600
114,2.607846,0.0000,1.087702,76.6700,94.0400
115,2.609559,0.0000,1.027854,76.8200,94.4100
116,2.571374,0.0000,1.081957,77.2100,94.0500
117,2.615584,0.0000,1.051866,77.2000,94.3200
118,2.628586,0.0000,1.097548,76.6700,93.8900
119,2.584610,0.0000,1.071777,77.1100,94.1500
120,2.557525,0.0000,1.058343,76.9100,94.3800
121,2.598856,0.0000,1.064836,77.1000,94.0700
122,2.553900,0.0000,1.088163,77.4300,94.1700
123,2.531842,0.0000,1.111569,76.9400,93.8300
124,2.559962,0.0000,1.033317,77.9800,94.5800
125,2.560077,0.0000,1.011080,78.2400,94.3400
126,2.527788,0.0000,1.073478,77.8900,94.1200
127,2.537997,0.0000,1.056937,77.7900,94.1900
128,2.534360,0.0000,1.070319,77.6500,94.3100
129,2.507937,0.0000,1.050048,78.2300,94.1700
130,2.509305,0.0000,1.063501,77.9700,94.2900
131,2.526923,0.0000,1.074589,77.9400,94.2300
132,2.481788,0.0000,1.042285,77.9100,94.2000
133,2.464611,0.0000,1.036937,78.1100,94.3500
134,2.541675,0.0000,0.994997,78.1900,94.5500
135,2.486340,0.0000,1.022869,78.3900,94.4400
136,2.496507,0.0000,1.035640,78.3000,94.2900
137,2.454109,0.0000,1.065671,78.2500,94.2700
138,2.424023,0.0000,1.044580,78.5100,94.2100
139,2.457264,0.0000,1.036776,78.1200,94.5100
140,2.484924,0.0000,1.053703,78.2200,94.3700
141,2.485938,0.0000,1.029963,78.4300,94.2800
142,2.499627,0.0000,1.000823,78.5500,94.5200
143,2.538436,0.0000,1.025398,78.6500,94.4700
144,2.470207,0.0000,1.015195,78.7600,94.5300
145,2.480123,0.0000,1.062107,78.1000,94.2600
146,2.468514,0.0000,1.027575,78.9400,94.2300
147,2.471463,0.0000,0.999507,78.8800,94.6000
148,2.489165,0.0000,1.032708,78.2400,94.5000
149,2.510794,0.0000,1.062349,78.4400,94.2100
