epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.057218035367819,1.6346921875,44.1,92.36
1,1.9084973848783053,1.348690625,55.54,95.31
2,1.8321584481459396,1.351121875,54.77,93.31
3,1.7498344357197102,1.319653125,55.32,93.0
4,1.7267491582112435,0.998359375,69.79,97.82
5,1.6598423569630354,0.96714375,71.24,97.37
6,1.6250984830734057,0.9588171875,69.97,98.15
7,1.6060533862847548,0.8588875,75.61,98.47
8,1.5924203175764817,0.84784765625,77.24,97.87
9,1.5690062959988913,0.8495546875,76.2,98.1
10,1.5403396202967716,0.8261875,76.25,98.34
11,1.532085474485006,0.67483671875,81.16,98.93
12,1.4919287380499717,0.70547578125,82.4,98.88
13,1.4714679563656832,0.72076015625,80.79,98.87
14,1.4593744936661843,0.64617109375,82.96,98.84
15,1.4625288429932717,0.66478359375,83.56,99.09
16,1.46977158448635,0.7184640625,82.02,99.03
17,1.4287341009347867,0.666845703125,83.19,99.25
18,1.4699169051952852,0.6330015625,85.68,99.45
19,1.4431946522150285,0.639953125,84.92,99.11
20,1.4098478534282781,0.6554625,84.67,99.03
21,1.4215056751018915,0.58095546875,86.11,99.38
22,1.3894722848366468,0.572405078125,86.03,99.44
23,1.3868190514735685,0.53905390625,87.27,99.29
24,1.381016538846187,0.62288984375,87.57,99.39
25,1.3475800841282575,0.550844140625,87.54,99.29
26,1.367030063500771,0.55252265625,88.4,99.52
27,1.352945617070565,0.469371875,89.01,99.54
28,1.3185988658513779,0.530267578125,88.83,99.52
29,1.3006600441076817,0.480401171875,88.3,99.48
30,1.358246647241788,0.55312734375,88.94,99.54
31,1.3434554196321047,0.509869921875,88.95,99.48
32,1.3257303681129065,0.55704140625,86.95,99.44
33,1.3461201858826173,0.5295984375,89.75,99.63
34,1.3469621534530933,0.594062890625,88.39,99.57
35,1.3111089961651043,0.518740625,89.51,99.6
36,1.3049562989137111,0.449034375,90.72,99.64
37,1.3035115459026434,0.4644140625,91.17,99.67
38,1.3104890875327282,0.456619140625,90.53,99.68
39,1.2991346097909486,0.4983546875,89.66,99.66
40,1.2891054899264605,0.438853125,89.83,99.6
41,1.295105034418595,0.4636828125,90.88,99.66
42,1.2793899213656401,0.478334375,90.07,99.53
43,1.3079369977498665,0.481391015625,90.39,99.56
44,1.283074641227722,0.481005078125,90.51,99.71
45,1.2360211124786964,0.46566484375,91.19,99.62
46,1.270583595832189,0.47705234375,91.3,99.63
47,1.27765498986611,0.462496484375,90.64,99.57
48,1.2784271591748946,0.4516328125,91.12,99.7
49,1.2594044424020328,0.3981015625,91.57,99.6
50,1.2499952683081994,0.445846484375,90.62,99.71
51,1.2755362529021044,0.425068359375,90.78,99.67
52,1.249743645466291,0.39629921875,91.73,99.7
53,1.2610704663472299,0.439132421875,91.62,99.76
54,1.2413715143998465,0.3810875,92.29,99.84
55,1.277366727284896,0.410596875,91.32,99.77
56,1.245439384228144,0.4370546875,91.86,99.73
57,1.251355205132411,0.418384375,92.03,99.77
58,1.2683846039649769,0.526173828125,91.38,99.58
59,1.2211875284329439,0.43111875,91.3,99.56
60,1.2703753508054294,0.39707265625,92.52,99.6
61,1.2417769999076158,0.430304296875,92.21,99.76
